MESSAGE_ID	MESSAGE_CD	MESSAGE_TYPE	SYSTEM_TYPE	MESSAGE_NM	MESSAGE_ABBR	CULTURE_ID
1728	shippingUpdateCompleteReprintReport	info	wms	次の帳票またはデータを再出力して下さい。([0])	完了	1
1729	shippingUpdateSameStockNotInputStoreDtError	error	wms	同一預託・在庫区分・ロケーション・ロット・期限日・入荷ラベルNo.を入力時は、入庫日を入力して下さい。	同一在庫入力時、入庫日必須	1
1730	shippingUpdateSameStockNotInputStoreDtOrStoreNoError	error	wms	同一預託・在庫区分・ロケーション・ロット・期限日を入力時は、入庫日または入荷ラベルNo.を入力して下さい。	同一在庫入力時、入庫日必須	1
1731	shippingUpdateSameStockNotInputStoreNoError	error	wms	同一預託・在庫区分・ロケーション・ロット・期限日・入庫日を入力時は、入荷ラベルNo.を入力して下さい。	同一在庫入力時、入荷ラベルNo.必須	1
1732	singleRowPickingTargetError	error	wms	単行ピッキング対象です。単行出荷検品から検品を行って下さい。		1
1733	singleRowShippingInspectExistsInspectedProductWarn	warn	wms	検品済の商品があります。検品済数を確認して下さい。	検品済商品有	1
1734	singleRowShippingInspectExistsShippingStopCustomerWarn	warn	wms	出荷停止の取引先が含まれていましたので検品対象から除外しました。出荷可能な取引先のみ検品して下さい。	出荷停止取引先有	1
1735	singleRowShippingInspectOtherPickingGroupNoError	error	wms	他のピッキンググループNo.([0])を検品中です。先に検品中のピッキンググループNo.を検品して下さい。	検品中ピッキンググループNo.有	1
1736	singleRowShippingInspectOtherProductError	error	wms	他の商品([0])を検品中です。先に検品中の商品を検品して下さい。	検品中商品有	1
1737	singleRowShippingInspectOtherTempNoError	error	wms	他の仮置きNo.([0])を検品中です。先に検品中の仮置きNo.を検品して下さい。	検品中仮置きNo.有	1
1738	singleRowShippingInspectOtherWarehouseError	error	wms	他の倉庫([0])を検品中です。先に検品中の倉庫を検品して下さい。	検品中倉庫有	1
1739	singleRowShippingInspectOtherZoneError	error	wms	他のゾーン([0])を検品中です。先に検品中のゾーンを検品して下さい。	検品中ゾーン有	1
1740	slipNoDuplicateError	error	wms	同一伝票の明細データが、他の行で入力されています。	重複	1
1741	spareNum1BulkCheckInputIntegerLengthError	error	wms	予備項目１（数値）は整数7桁以内を入力して下さい。	整数7桁以内	1
1742	spareNum1CheckInputDecimalMaxError	error	wms	予備項目１（数値）は小数3桁以内で入力して下さい。		1
1743	spareNum1CheckInputMinError	error	wms	予備項目１（数値）は0以上を入力して下さい。		1
1744	spareNum1CheckNumericOnlyError	error	wms	予備項目１（数値） 数値のみ	数値のみ	1
1745	spareNum2BulkCheckInputIntegerLengthError	error	wms	予備項目２（数値）は整数7桁以内を入力して下さい。	整数7桁以内	1
1746	spareNum2CheckInputDecimalMaxError	error	wms	予備項目２（数値）は小数3桁以内で入力して下さい。		1
1747	spareNum2CheckInputMinError	error	wms	予備項目２（数値）は0以上を入力して下さい。		1
1748	spareNum2CheckNumericOnlyError	error	wms	予備項目２（数値） 数値のみ	数値のみ	1
1749	spareNum3BulkCheckInputIntegerLengthError	error	wms	予備項目３（数値）は整数7桁以内を入力して下さい。	整数7桁以内	1
1750	spareNum3CheckInputDecimalMaxError	error	wms	予備項目３（数値）は小数3桁以内で入力して下さい。		1
1751	spareNum3CheckInputMinError	error	wms	予備項目３（数値）は0以上を入力して下さい。		1
1752	spareNum3CheckNumericOnlyError	error	wms	予備項目３（数値） 数値のみ	数値のみ	1
1753	spareStr1CheckInputMaxError	error	wms	予備項目１（文字列）は最大200文字以下で入力して下さい。		1
1754	spareStr2CheckInputMaxError	error	wms	予備項目２（文字列）は最大200文字以下で入力して下さい。		1
1755	spareStr3CheckInputMaxError	error	wms	予備項目３（文字列）は最大200文字以下で入力して下さい。		1
1756	standardBoxCannotDeleteError	error	wms	標準箱に設定されているため、削除できません。	削除不可	1
1757	standardBoxChangeConfirmation	confirm	wms	標準箱の設定を変更します。宜しいですか？	変更確認	1
1758	standerdBoxCannotSelectDeletedError	error	wms	削除された箱は標準箱に設定出来ません。	選択不可	1
1759	startTimeInputRequestBeforeEndTimeError	error	wms	開始時間を終了時間前の時点に設定しなければなりません。	終了時間前の時点に設定	1
1760	stockAdjustmentCannotExecuteCompletedError	error	wms	確定済のデータは在庫調整できません。	実行不可	1
1761	stockAdjustmentCannotExecuteNotRegisteredError	error	wms	登録されていないデータは在庫調整できません。	実行不可	1
1762	stockAdjustmentCannotExecuteResultQtyNotRegisteredError	error	wms	棚卸数量が未登録のため在庫調整できません。	実行不可	1
1763	stockAdjustmentCannotExecuteStockCountDataChangedError	error	wms	棚卸データ作成時より在庫に変更がある為、調整できません。	実行不可	1
1764	stockAdjustmentCannotExecuteStockDataExistsError	error	wms	既に在庫が存在しています。	在庫存在	1
1765	stockAdjustmentCannotExecuteStockQtyChangedInformation	info	wms	棚卸データ作成時より在庫に変更がある為、調整できません。詳細は運用管理情報で確認して下さい。	実行不可情報	1
1766	stockAdjustmentCannotExecuteStockShortageError	error	wms	在庫数が不足の為、調整できません。	実行不可	1
1767	stockAdjustmentCannotExecuteStoreNoExistsError	error	wms	既に存在する入荷ラベルNo.です。	入荷ラベルNo.存在	1
1768	stockAdjustmentCannotRegisterLotLimitDtFlgChangedError	error	wms	ロット管理フラグまたは期限日管理フラグが変更された為、在庫調整できません。	ロット管理フラグ、期限日管理フラグ変更有	1
1769	stockAdjustmentCannotRegisterMergeByNewStoreLabelError	error	wms	マージ先の在庫があるため、新しい入荷ラベルNo.の指定はできません。	登録不可	1
1770	stockAdjustmentExecuteConfirmation	confirm	wms	在庫調整を行いますが、宜しいですか？	実行確認	1
1771	stockAdjustmentInputStockInformationError	error	wms	調整数量項目の入力内容に誤りがあります。	入力内容不正	1
1772	stockAdjustmentQtyCannotInputMoreThanBeforeError	error	wms	調整数量が調整前数量を超えています。	調整前数量超え入力不可	1
1773	stockCanBeAllocateNotFoundInformation	info	wms	引当可能な在庫がありません。	未存在情報	1
1774	stockCannotExecuteSetReplenishDataError	error	wms	移動、セット品、定期補充、緊急補充データ以外に対して、処理はできません。	処理不可	1
1775	stockCannotSpecifyError	error	wms	在庫を特定できません。指定ロケーションに複数の在庫が存在します。	在庫特定不可	1
1776	stockClassCheckInputMaxError	error	wms	在庫区分は最大30文字以下を入力して下さい。	最大30文字以下	1
1777	stockClassNotInputError	error	wms	在庫区分を入力して下さい。	未入力	1
1778	stockCountBulkUpdateCompleteInformation	info	wms	棚卸在庫一括更新終了	完了情報	1
1779	stockCountBulkUpdateExecuteInformation	info	wms	棚卸在庫一括更新	実行情報	1
1780	stockCountBulkUpdateParameterInformation	info	wms	商品CD：[1] ,商品名称：[2] ,ロット：[3] ,期限日：[4] ,ロケーション：[5] ,棚卸前在庫数[6] ,棚卸数量：[7] ,棚卸差異数：[8]	パラメータ情報	1
1781	stockCountBulkUpdateResultTransactionInformation	info	wms	処理件数：[1]件 ,更新件数：[2]件 ,エラー件数：[3]件	処理件数情報	1
1782	stockCountBulkUpdateStartInformation	info	wms	棚卸在庫一括更新開始	開始情報	1
1783	stockCountCreateCompleteContainedIntransitInformation	info	wms	作業中または引当済の在庫が存在しています。棚卸データを作成して宜しいですか？	完了情報	1
1784	stockCountCreateCompleteInformation	info	wms	棚卸データ作成終了	完了情報	1
1785	stockCountCreateConditionInformation	info	wms	棚卸データ抽出条件	抽出条件情報	1
1786	stockCountCreateExecuteIncludedCompletedConfirmation	confirm	wms	確定済のデータが含まれています。処理を行いますか？	実行確認	1
1787	stockCountCreateExecuteInformation	info	wms	ロケーション：[1] ,商品CD：[2] ,商品名称：[3] ,ロット：[4] ,期限日：[5] ,引当可能数：[6] ,未確定数：[7] ,作業／積送中数：[8]	実行情報	1
1788	stockCountCreateExecuteOverwriteConfirmation	confirm	wms	既に棚卸入力されたデータがあります。データを上書きしてよろしいですか？		1
1789	stockCountCreateFailedInformation	info	wms	棚卸データを作成できません。（積送中、引当済の在庫あり。）	失敗情報	1
1790	stockCountCreateParameterInformation	info	wms	棚卸日：[1] ,在庫区分：[2] ,ロケーション：[3]～[4] ,ゾーン：[5] ,当日受払のみ：[6] ,在庫数＞0のみ：[7]	パラメータ情報	1
1791	stockCountCreateResultContainedIntransitInformation	info	wms	作業／積送中または未確定数の在庫件数：[1]	結果情報	1
1792	stockCountCreateResultInformation	info	wms	棚卸データ作成	結果情報	1
1793	stockCountCreateResultTransactionInformation	info	wms	追加件数：[1]件 ,更新件数：[2]件	処理件数情報	1
1794	stockCountCreateStartInformation	info	wms	棚卸データ作成開始	開始情報	1
1795	stockCountDataCheckExecuteInformation	info	wms	棚卸データチェック	実行情報	1
1796	stockCountDataFoundError	error	wms	棚卸データが既に存在します。	存在	1
